id,date,division,sehar_start,sehar_end,ifter
1,2024-03-12,Dhaka,,04:51:00.000,18:10:00.000
2,2024-03-13,Dhaka,,04:50:00.000,18:10:00.000
3,2024-03-14,Dhaka,,04:49:00.000,18:11:00.000
4,2024-03-15,Dhaka,,04:48:00.000,18:11:00.000
5,2024-03-16,Dhaka,,04:47:00.000,18:12:00.000
6,2024-03-17,Dhaka,,04:46:00.000,18:12:00.000
7,2024-03-18,Dhaka,,04:45:00.000,18:12:00.000
8,2024-03-19,Dhaka,,04:44:00.000,18:13:00.000
9,2024-03-20,Dhaka,,04:43:00.000,18:13:00.000
10,2024-03-21,Dhaka,,04:42:00.000,18:13:00.000
11,2025-02-09,Dhaka,,04:41:00.000,18:14:00.000
12,2024-03-23,Dhaka,,04:40:00.000,18:14:00.000
13,2024-03-24,Dhaka,,04:39:00.000,18:14:00.000
14,2024-03-25,Dhaka,,04:38:00.000,18:15:00.000
15,2024-03-26,Dhaka,,04:36:00.000,18:15:00.000
16,2024-03-27,Dhaka,,04:35:00.000,18:16:00.000
17,2024-03-28,Dhaka,,04:34:00.000,18:16:00.000
18,2024-03-29,Dhaka,,04:33:00.000,18:17:00.000
19,2024-03-30,Dhaka,,04:31:00.000,18:17:00.000
20,2024-03-31,Dhaka,,04:30:00.000,18:18:00.000
21,2024-04-01,Dhaka,,04:29:00.000,18:18:00.000
22,2024-04-02,Dhaka,,04:28:00.000,18:19:00.000
23,2024-04-03,Dhaka,,04:27:00.000,18:19:00.000
24,2024-04-04,Dhaka,,04:26:00.000,18:19:00.000
25,2024-04-05,Dhaka,,04:24:00.000,18:20:00.000
26,2024-04-06,Dhaka,,04:24:00.000,18:20:00.000
27,2024-04-07,Dhaka,,04:23:00.000,18:21:00.000
28,2024-04-08,Dhaka,,04:22:00.000,18:21:00.000
29,2024-04-09,Dhaka,,04:21:00.000,18:21:00.000
30,2024-04-10,Dhaka,,04:20:00.000,18:22:00.000
31,2024-03-12,Comilla,,04:48:00.000,18:06:00.000
32,2024-03-13,Comilla,,04:47:00.000,18:06:00.000
33,2024-03-14,Comilla,,04:46:00.000,18:07:00.000
34,2024-03-15,Comilla,,04:45:00.000,18:07:00.000
35,2024-03-16,Comilla,,04:44:00.000,18:08:00.000
36,2024-03-17,Comilla,,04:43:00.000,18:08:00.000
37,2024-03-18,Comilla,,04:42:00.000,18:08:00.000
38,2024-03-19,Comilla,,04:41:00.000,18:09:00.000
39,2024-03-20,Comilla,,04:40:00.000,18:09:00.000
40,2024-03-21,Comilla,,04:39:00.000,18:09:00.000
41,2024-03-22,Comilla,,04:38:00.000,18:10:00.000
42,2024-03-23,Comilla,,04:37:00.000,18:10:00.000
43,2024-03-24,Comilla,,04:36:00.000,18:10:00.000
44,2024-03-25,Comilla,,04:35:00.000,18:11:00.000
45,2024-03-26,Comilla,,04:33:00.000,18:11:00.000
46,2024-03-27,Comilla,,04:32:00.000,18:12:00.000
47,2024-03-28,Comilla,,04:31:00.000,18:12:00.000
48,2024-03-29,Comilla,,04:30:00.000,18:13:00.000
49,2024-03-30,Comilla,,04:28:00.000,18:13:00.000
50,2024-03-31,Comilla,,04:27:00.000,18:14:00.000
51,2024-04-01,Comilla,,04:26:00.000,18:14:00.000
52,2024-04-02,Comilla,,04:25:00.000,18:15:00.000
53,2024-04-03,Comilla,,04:24:00.000,18:15:00.000
54,2024-04-04,Comilla,,04:23:00.000,18:15:00.000
55,2024-04-05,Comilla,,04:21:00.000,18:16:00.000
56,2024-04-06,Comilla,,04:21:00.000,18:16:00.000
57,2024-04-07,Comilla,,04:20:00.000,18:17:00.000
58,2024-04-08,Comilla,,04:19:00.000,18:17:00.000
59,2024-04-09,Comilla,,04:18:00.000,18:17:00.000
60,2024-04-10,Comilla,,04:17:00.000,18:18:00.000
61,2024-03-12,Feni,,04:48:00.000,18:05:00.000
62,2024-03-13,Feni,,04:47:00.000,18:05:00.000
63,2024-03-14,Feni,,04:46:00.000,18:06:00.000
64,2024-03-15,Feni,,04:45:00.000,18:06:00.000
65,2024-03-16,Feni,,04:44:00.000,18:07:00.000
66,2024-03-17,Feni,,04:43:00.000,18:07:00.000
67,2024-03-18,Feni,,04:42:00.000,18:07:00.000
68,2024-03-19,Feni,,04:41:00.000,18:08:00.000
69,2024-03-20,Feni,,04:40:00.000,18:08:00.000
70,2024-03-21,Feni,,04:39:00.000,18:08:00.000
71,2024-03-22,Feni,,04:38:00.000,18:09:00.000
72,2024-03-23,Feni,,04:37:00.000,18:09:00.000
73,2024-03-24,Feni,,04:36:00.000,18:09:00.000
74,2024-03-25,Feni,,04:35:00.000,18:10:00.000
75,2024-03-26,Feni,,04:33:00.000,18:10:00.000
76,2024-03-27,Feni,,04:32:00.000,18:11:00.000
77,2024-03-28,Feni,,04:31:00.000,18:11:00.000
78,2024-03-29,Feni,,04:30:00.000,18:12:00.000
79,2024-03-30,Feni,,04:28:00.000,18:12:00.000
80,2024-03-31,Feni,,04:27:00.000,18:13:00.000
81,2024-04-01,Feni,,04:26:00.000,18:13:00.000
82,2024-04-02,Feni,,04:25:00.000,18:14:00.000
83,2024-04-03,Feni,,04:24:00.000,18:14:00.000
84,2024-04-04,Feni,,04:23:00.000,18:14:00.000
85,2024-04-05,Feni,,04:21:00.000,18:15:00.000
86,2024-04-06,Feni,,04:21:00.000,18:15:00.000
87,2024-04-07,Feni,,04:20:00.000,18:16:00.000
88,2024-04-08,Feni,,04:19:00.000,18:16:00.000
89,2024-04-09,Feni,,04:18:00.000,18:16:00.000
90,2024-04-10,Feni,,04:17:00.000,18:17:00.000
91,2024-03-12,Brahmanbaria,,04:48:00.000,18:07:00.000
92,2024-03-13,Brahmanbaria,,04:47:00.000,18:07:00.000
93,2024-03-14,Brahmanbaria,,04:46:00.000,18:08:00.000
94,2024-03-15,Brahmanbaria,,04:45:00.000,18:08:00.000
95,2024-03-16,Brahmanbaria,,04:44:00.000,18:09:00.000
96,2024-03-17,Brahmanbaria,,04:43:00.000,18:09:00.000
97,2024-03-18,Brahmanbaria,,04:42:00.000,18:09:00.000
98,2024-03-19,Brahmanbaria,,04:41:00.000,18:10:00.000
99,2024-03-20,Brahmanbaria,,04:40:00.000,18:10:00.000
100,2024-03-21,Brahmanbaria,,04:39:00.000,18:10:00.000
101,2024-03-22,Brahmanbaria,,04:38:00.000,18:11:00.000
102,2024-03-23,Brahmanbaria,,04:37:00.000,18:11:00.000
103,2024-03-24,Brahmanbaria,,04:36:00.000,18:11:00.000
104,2024-03-25,Brahmanbaria,,04:35:00.000,18:12:00.000
105,2024-03-26,Brahmanbaria,,04:33:00.000,18:12:00.000
106,2024-03-27,Brahmanbaria,,04:32:00.000,18:13:00.000
107,2024-03-28,Brahmanbaria,,04:31:00.000,18:13:00.000
108,2024-03-29,Brahmanbaria,,04:30:00.000,18:14:00.000
109,2024-03-30,Brahmanbaria,,04:28:00.000,18:14:00.000
110,2024-03-31,Brahmanbaria,,04:27:00.000,18:15:00.000
111,2024-04-01,Brahmanbaria,,04:26:00.000,18:15:00.000
112,2024-04-02,Brahmanbaria,,04:25:00.000,18:16:00.000
113,2024-04-03,Brahmanbaria,,04:24:00.000,18:16:00.000
114,2024-04-04,Brahmanbaria,,04:23:00.000,18:16:00.000
115,2024-04-05,Brahmanbaria,,04:21:00.000,18:17:00.000
116,2024-04-06,Brahmanbaria,,04:21:00.000,18:17:00.000
117,2024-04-07,Brahmanbaria,,04:20:00.000,18:18:00.000
118,2024-04-08,Brahmanbaria,,04:19:00.000,18:18:00.000
119,2024-04-09,Brahmanbaria,,04:18:00.000,18:18:00.000
120,2024-04-10,Brahmanbaria,,04:17:00.000,18:19:00.000
121,2024-03-12,Rangamati,,04:45:00.000,18:02:00.000
122,2024-03-13,Rangamati,,04:44:00.000,18:02:00.000
123,2024-03-14,Rangamati,,04:43:00.000,18:03:00.000
124,2024-03-15,Rangamati,,04:42:00.000,18:03:00.000
125,2024-03-16,Rangamati,,04:41:00.000,18:04:00.000
126,2024-03-17,Rangamati,,04:40:00.000,18:04:00.000
127,2024-03-18,Rangamati,,04:39:00.000,18:04:00.000
128,2024-03-19,Rangamati,,04:38:00.000,18:05:00.000
129,2024-03-20,Rangamati,,04:37:00.000,18:05:00.000
